DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,NPHI,RHOB,PEF,GR,DTC,DTE,RDEP,SP,RSHA,RXO,RMED
513.29046631,,23.26599884,-0.02,,1.9938999414,1.0679996014,40.99105835,159.43739319,48590268.0,1.2480024099,26.681789398,1.0960396528,,1.0960396528
513.44287109,,23.26599884,-0.021,,1.9938999414,1.0630019903,41.230854034,159.43742371,48589932.0,1.2500015497,27.336597443,1.105035305,,1.105035305
513.59527588,,23.26599884,-0.022,,1.9938999414,1.059001565,41.423202515,159.44166565,48589600.0,1.2510032654,26.462999344,1.113019228,,1.113019228
513.74768066,,23.26599884,-0.02,,1.9938999414,1.0480043888,41.250125885,159.43739319,48589264.0,1.2530064583,26.462799072,1.1170144081,,1.1170144081
513.90008545,,23.26599884,-0.017000001,,1.9938999414,1.0470000505,39.612133026,159.43739319,48588928.0,1.2569999695,26.338199615,1.120024085,,1.120024085
514.05249023,,23.26599884,-0.017999999,,1.9938999414,1.0490000248,37.986606598,159.4370575,48588592.0,1.2569919825,26.464000702,1.125009656,,1.125009656
514.20489502,,23.26599884,-0.015,,1.9938999414,1.0559999943,38.740943909,159.38233948,48588252.0,1.2519887686,27.087799072,1.1269567013,,1.1269567013
514.3572998,,23.26599884,-0.012,,1.9938999414,1.0629999638,40.39434433,159.43739319,48587896.0,1.2449887991,26.962747574,1.1179567575,,1.1179567575
514.50970459,,23.26599884,-0.011,,1.9938999414,1.0629999638,42.131748199,159.43701172,48587584.0,1.2379952669,26.806200027,1.1089566946,,1.1089566946
514.66210938,,23.26599884,-0.012,,1.9938999414,1.0590000153,44.153354645,159.37782288,48587248.0,1.2350064516,26.929998398,1.0999759436,,1.0999759436
514.81445313,,23.26599884,-0.011,,1.9938999414,1.0580003262,44.851242065,159.37782288,48586916.0,1.2390084267,26.307390213,1.0949691534,,1.0949691534
514.96685791,,23.26599884,-0.012,,1.9938999414,1.05200243,45.580242157,159.37782288,48586548.0,1.2460108995,27.462848663,1.0879912376,,1.0879912376
515.1192627,,23.26599884,-0.012,,1.9938999414,1.0480015278,44.734893799,159.37782288,48586212.0,1.2550132275,27.33788681,1.0860660076,,1.0860660076
515.27166748,,23.26599884,-0.013,,1.9938999414,1.0430020094,45.625427246,159.37782288,48585880.0,1.2660084963,27.243923187,1.10110569,,1.10110569
