DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,SGR,NPHI,RHOB,PEF,GR,DTC,DTE,RDEP,SP,RSHA,RMED
1114.7398682,,17.593999863,,,,2.3484077454,,45.872947693,135.18048096,151.45649719,2.065972805,57.955001831,0.2680000067,1.9770047665
1114.8922119,,17.593999863,,,,2.3382282257,,44.592700958,137.85653687,154.45571899,2.0489680767,57.673999786,0.3100000024,1.9800608158
1115.0446777,,17.593999863,,,,2.3318245411,,43.773586273,139.47299194,156.36427307,2.0289857388,57.830001831,0.3210000098,2.018065691
1115.1970215,,17.593999863,,,,2.3281276226,,39.156398773,140.50361633,157.4851532,2.0199680328,57.705001831,0.2969999909,2.058993578
1115.3494873,,17.593999863,,,,2.3279411793,,39.414012909,140.62664795,157.54602051,1.9999871254,57.236000061,0.2259999961,2.0549440384
1115.5018311,,17.593999863,,,,2.3293361664,,44.404548645,140.23106384,157.11340332,1.9919935465,57.486000061,0.2090000063,2.0199935436
1115.6542969,,17.593999863,,,,2.3296999931,,43.500450134,140.12800598,157.01499939,1.987985611,57.486000061,0.25,2.0160336494
1115.8066406,,17.593999863,,,,2.3290045261,,43.773193359,140.39544678,157.23117065,1.9789872169,57.205001831,0.200000003,2.0370416641
1115.9589844,,17.593999863,,,,2.3264055252,,38.907150269,141.03625488,158.02037048,1.9709911346,57.57970047,0.2319743782,2.0629758835
1116.1114502,,17.593999863,,,,2.3229162693,,40.349357605,141.93495178,159.10308838,1.9599856138,57.580001831,0.2240000069,2.0329215527
1116.2637939,,17.608999252,,,,2.3212502003,,43.686946869,142.43028259,159.62133789,1.9509952068,57.361175537,0.2000192255,1.9839799404
1116.4162598,,17.593999863,,,,2.320381403,,42.377601624,142.69326782,159.8916626,1.9449903965,57.298999786,0.1780000031,1.9589599371
1116.5686035,,17.593999863,,,,2.3183457851,,43.995891571,143.29901123,160.52690125,1.939000845,56.673999786,0.2440000027,1.934001565
1116.7210693,,17.593999863,,,,2.3167176247,,38.87915802,143.64611816,161.02670288,1.9399952888,56.923999786,0.275000006,1.9360096455
1116.8734131,,17.593999863,,,,2.3160910606,,41.466850281,143.88447571,161.22900391,1.9369968176,56.798999786,0.300999999,1.9419728518
1117.0258789,,17.593999863,,,,2.3167731762,,40.129707336,143.6653595,161.02000427,1.9349999428,57.048999786,0.3079999983,1.9249743223
1117.1782227,,17.593999863,,,,2.3204767704,,43.070503235,142.66052246,159.86074829,1.9349999428,56.518001556,0.2630000114,1.9090144634
1117.3306885,,17.593999863,,,,2.3271446228,,47.757911682,140.82608032,157.79742432,1.9349887371,56.173999786,0.2460000068,1.9180079699
1117.4830322,,17.593999863,,,,2.3354444504,,52.689201355,138.60540771,155.28831482,1.9279727936,55.986000061,0.2879999876,1.9229471684
1117.635498,,17.608999252,,,,2.3414208889,,53.430839539,136.99433899,153.4928894,1.9109759331,56.518001556,0.2829999924,1.889998436
1117.7878418,,17.593999863,,,,2.3414404392,,48.962146759,136.94308472,153.47825623,1.895980835,56.361000061,0.3230000138,1.8889632225
1117.9403076,,17.593999863,,,,2.336455822,,44.688549042,138.32061768,154.98857117,1.8839775324,55.486000061,0.2639999986,1.8660112619
1118.0926514,,17.608999252,,,,2.3280618191,,45.024291992,140.53811646,157.53991699,1.8699696064,55.361000061,0.1909999996,1.8729696274
1118.2449951,,17.593999863,,,,2.3195819855,,40.842823029,142.92086792,160.14370728,1.8509839773,55.485900879,0.2189775854,1.8540167809
1118.3974609,,17.593999863,,,,2.3159210682,,39.373901367,144.01507568,161.29737854,1.8309775591,55.143001556,0.2720000148,1.8750303984
1118.5498047,,17.593999863,,,,2.3167917728,,38.691429138,143.62727356,161.02467346,1.8169903755,54.986000061,0.2709999979,1.8940273523
