DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,NPHI,RHOB,PEF,GR,DTC,DTS,RDEP,SP,RSHA,RMED
1074.6251221,,18.200000763,-1.246000051,,1.7159999609,31.11400032,19.173999786,56.800003052,,1.1499999762,29.569999695,,0.2118999958
1074.7501221,,18.200000763,-1.24000001,,1.7139999866,31.204000473,18.952999115,56.800003052,,1.1499999762,30.379999161,,0.2118999958
1074.8751221,,18.200000763,-1.235000014,,1.7150000334,30.968999863,18.760000229,56.800003052,,1.1499999762,31.659000397,,0.2118999958
1075.0,,18.200000763,-1.226999998,,1.7230000496,30.716999054,18.621999741,56.800003052,,1.1499999762,32.64799881,,0.2118999958
1075.125,,18.200000763,-1.213000059,,1.7300000191,30.63599968,18.777999878,56.800003052,,1.1499999762,33.159000397,,0.2118999958
1075.25,,18.200000763,-1.192999959,,1.7280000448,30.527999878,19.12100029,56.800003052,,1.1499999762,33.355998993,,0.2118999958
1075.3748779,,18.200000763,-1.167999983,,1.7059999704,29.784000397,19.267000198,56.800003052,,1.1499999762,33.548000336,,0.2118999958
1075.4998779,,18.200000763,-1.149000049,,1.6569999456,27.525999069,19.212999344,56.800003052,,1.1499999762,34.096000671,,0.2118999958
1075.6248779,,18.200000763,-1.136000037,,1.6050000191,25.964000702,19.103000641,56.800003052,,1.1499999762,35.125,,0.2117999941
1075.7501221,,18.200000763,-1.129999995,,1.5620000362,25.447000504,19.184000015,56.800003052,,1.1499999762,36.256999969,,0.2117999941
1075.8751221,,18.200000763,-1.131000042,,1.5329999924,25.603000641,19.419000626,56.800003052,,1.1499999762,37.116001129,,0.2117999941
1076.0001221,,18.200000763,-1.13499999,,1.5190000534,25.840999603,19.604999542,56.800003052,,1.1499999762,37.312000275,,0.2118999958
